FUR-BO-10004357,O'Sullivan Living Dimensions 3-Shelf Bookcases,White,Furniture,Bookcases,2016-06-08,Dearfoams,,39161445658,,8
FUR-CH-10002044,"Office Star - Contemporary Task Swivel chair with 2-way adjustable arms, Plum",Blue,Furniture,Chairs,2017-01-09,Easy Spirit,8.5,29021040932,,2
FUR-CH-10004289,Global Super Steno Chair,Blue,Furniture,Chairs,2017-01-27,,"7,6",7.40E+11,,0
FUR-FU-10000723,"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting",Blue,Furniture,Furnishings,2016-11-11,Latitudes Inc.,,94763200517,,0
FUR-FU-10001934,Magnifier Swing Arm Lamp,Blue,Furniture,Furnishings,2017-01-12,,"10.5,8.5,10,7,9.5,7.5,9,11.5,8,11,12",8.06E+11,,3
FUR-FU-10003026,"Eldon Regeneration Recycled Desk Accessories, Black",Black,Furniture,Furnishings,2016-07-28,,,,,0
FUR-FU-10004006,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",Blue,Furniture,Furnishings,2016-03-10,,,,,3
FUR-TA-10000617,"Hon Practical Foundations 30 x 60 Training Table, Light Gray/Charcoal",Pink,Furniture,Tables,2016-10-05,Polo Ralph Lauren,,8.90E+11,,2
FUR-TA-10004154,"Riverside Furniture Oval Coffee Table, Oval End Table, End Table with Drawer",Blue,Furniture,Tables,2016-06-08,,"7.5W,12.5M,11.5M,14W,156E,12.5W,10W,10.5M,14M,7M,7.5M,14N,11.54W,10N,10M,10.5W,11.5W,11W,86E,8.54W,15W,96E,15M,76E,11M,154W,11N,12.54W,9.54W,144W,9W,12W,8.5M,9N,9M,136E,116E,9.5M,126E,7.54W,8.5W,9.5W,106E,12N,12M,8W,94W,114W,13W,8M,84W,10.54W,74W,146E,104W,124W,13M,134W,13N,7W",,,0
OFF-AP-10001303,"Holmes Cool Mist Humidifier for the Whole House with 8-Gallon Output per Day, Extended Life Filter",Blue,Office Supplies,Appliances,2016-03-11,,"8.5,10,9.5,7.5,9,8",,,2
OFF-AP-10002945,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,Blue,Office Supplies,Appliances,2016-08-03,,,7.72E+11,,2
OFF-AR-10000122,Newell 314,Pink,Office Supplies,Art,2016-10-17,Principle Plastics,,91053501910,,0
OFF-AR-10001547,Newell 311,Blue,Office Supplies,Art,2016-10-28,MIA,,8.88E+11,,0
OFF-AR-10003156,50 Colored Long Pencils,Pink,Office Supplies,Art,2016-02-16,,,,,3
OFF-AR-10004260,Boston 1799 Powerhouse Electric Pencil Sharpener,Blue,Office Supplies,Art,2016-08-27,SNEED,,,599 g,0
OFF-BI-10000545,GBC Ibimaster 500 Manual ProClick Binding System,Black,Office Supplies,Binders,2016-03-31,,,,,0
OFF-BI-10001543,GBC VeloBinder Manual Binding System,Blue,Office Supplies,Binders,2016-11-07,Speedo,,7.86E+11,,2
OFF-BI-10002414,GBC ProClick Spines for 32-Hole Punch,Blue,Office Supplies,Binders,2017-01-12,Studswar,5,8.85E+11,,0
OFF-BI-10003529,Avery Round Ring Poly Binders,Blue,Office Supplies,Binders,2016-03-22,,,,,1
OFF-BI-10004318,Ibico EB-19 Dual Function Manual Binding System,Blue,Office Supplies,Binders,2016-01-02,,20,,,11
OFF-EN-10001434,"Strathmore #10 Envelopes, Ultimate White",Pink,Office Supplies,Envelopes,2015-11-16,,S,8.88E+11,,4
OFF-EN-10004955,Fashion Color Clasp Envelopes,Blue,Office Supplies,Envelopes,2016-11-07,,,6.02E+11,,2
OFF-LA-10000248,Avery 52,Blue,Office Supplies,Labels,2016-11-10,XOXO,"10,11,6,6.5,7,7.5,8,9,9.5",7.56E+11,,0
OFF-LA-10004055,Color-Coded Legal Exhibit Labels,Blue,Office Supplies,Labels,2017-01-12,,,1.26E+11,,0
OFF-PA-10000483,Xerox 19,Black,Office Supplies,Paper,2016-10-05,Qupid,,7.23E+11,,0
OFF-PA-10001450,Rediform S.O.S. Phone Message Books,Blue,Office Supplies,Paper,2016-01-20,,,,,0
OFF-PA-10002195,"RSVP Cards & Envelopes, Blank White, 8-1/2"" X 11"", 24 Cards/25 Envelopes/Set",Black,Office Supplies,Paper,2017-01-12,DoctorInsole,,8.51E+11,,2
OFF-PA-10003129,Tops White Computer Printout Paper,Blue,Office Supplies,Paper,2016-10-05,Toms,,8.86E+11,,0
OFF-PA-10004156,Xerox 188,Blue,Office Supplies,Paper,2016-03-12,,,,,3
OFF-ST-10000419,"Rogers Jumbo File, Granite",Pink,Office Supplies,Storage,2015-12-09,,,,,2
OFF-ST-10001490,"Hot File 7-Pocket, Floor Stand",Black,Office Supplies,Storage,2016-04-29,,,,,0
